teammates_logic_api	isA	Package
teammates	isA	Package
teammates_logic	isA	Package
teammates_logic_backdoor	isA	Package
teammates_logic_core	isA	Package
teammates_logic	containsPackage	 teammates_logic_core
teammates_logic	containsPackage	 teammates_logic_backdoor
teammates_logic	containsPackage	 teammates_logic_api
teammates	containsPackage	 teammates_logic
teammates_logic_core_FeedbackResponseCommentsLogic	isA	Class
teammates_logic_core_MailjetService	isA	Class
teammates_logic_api_EmailSender	isA	Class
teammates_logic_core_EmailSenderService	isA	Class
teammates_logic_api_GateKeeper	isA	Class
teammates_logic_backdoor_BackDoorLogic	isA	Class
teammates_logic_core_SendgridService	isA	Class
teammates_logic_core_InstructorsLogic	isA	Class
teammates_logic_core_FeedbackQuestionsLogic	isA	Class
teammates_logic_core_FeedbackResponsesLogic	isA	Class
teammates_logic_api_EmailGenerator	isA	Class
teammates_logic_api_TaskQueuer	isA	Class
teammates_logic_core_StudentsLogic	isA	Class
teammates_logic_core_CoursesLogic	isA	Class
teammates_logic_api_Logic	isA	Class
teammates_logic_core_FeedbackSessionsLogic	isA	Class
teammates_logic_backdoor_BackDoorServlet	isA	Class
teammates_logic_core_MailgunService	isA	Class
teammates_logic_core_AdminEmailsLogic	isA	Class
teammates_logic_core_AccountsLogic	isA	Class
teammates_logic_core_ProfilesLogic	isA	Class
teammates_logic_core_TaskQueuesLogic	isA	Class
teammates_logic_core_JavamailService	isA	Class
teammates_logic_core	containsClass	 teammates_logic_core_FeedbackQuestionsLogic
teammates_logic_backdoor	containsClass	 teammates_logic_backdoor_BackDoorServlet
teammates_logic_core	containsClass	 teammates_logic_core_FeedbackResponseCommentsLogic
teammates_logic_core	containsClass	 teammates_logic_core_MailjetService
teammates_logic_backdoor	containsClass	 teammates_logic_backdoor_BackDoorLogic
teammates_logic_core	containsClass	 teammates_logic_core_FeedbackSessionsLogic
teammates_logic_core	containsClass	 teammates_logic_core_AdminEmailsLogic
teammates_logic_api	containsClass	 teammates_logic_api_GateKeeper
teammates_logic_core	containsClass	 teammates_logic_core_CoursesLogic
teammates_logic_core	containsClass	 teammates_logic_core_SendgridService
teammates_logic_core	containsClass	 teammates_logic_core_StudentsLogic
teammates_logic_api	containsClass	 teammates_logic_api_Logic
teammates_logic_core	containsClass	 teammates_logic_core_FeedbackResponsesLogic
teammates_logic_core	containsClass	 teammates_logic_core_JavamailService
teammates_logic_core	containsClass	 teammates_logic_core_AccountsLogic
teammates_logic_api	containsClass	 teammates_logic_api_EmailSender
teammates_logic_core	containsClass	 teammates_logic_core_ProfilesLogic
teammates_logic_core	containsClass	 teammates_logic_core_InstructorsLogic
teammates_logic_core	containsClass	 teammates_logic_core_MailgunService
teammates_logic_core	containsClass	 teammates_logic_core_TaskQueuesLogic
teammates_logic_api	containsClass	 teammates_logic_api_TaskQueuer
teammates_logic_core	containsClass	 teammates_logic_core_EmailSenderService
teammates_logic_api	containsClass	 teammates_logic_api_EmailGenerator
teammates_logic_core_StudentsLogic	importsClass	 java_util_ArrayList
teammates_logic_core_FeedbackResponseCommentsLogic	importsClass	 teammates_common_datatransfer_attributes_InstructorAttributes
teammates_logic_api_Logic	importsClass	 teammates_common_exception_EnrollException
teammates_logic_core_JavamailService	importsClass	 javax_mail_MessagingException
teammates_logic_core_FeedbackResponseCommentsLogic	importsClass	 teammates_common_datatransfer_CourseRoster
teammates_logic_core_TaskQueuesLogic	importsClass	 com_google_appengine_api_taskqueue_QueueFactory
teammates_logic_core_FeedbackResponseCommentsLogic	importsClass	 java_util_List
teammates_logic_backdoor_BackDoorServlet	importsClass	 teammates_common_util_JsonUtils
teammates_logic_api_GateKeeper	importsClass	 teammates_common_datatransfer_attributes_StudentAttributes
teammates_logic_core_CoursesLogic	importsClass	 teammates_common_datatransfer_CourseSummaryBundle
teammates_logic_core_AccountsLogic	importsClass	 teammates_common_util_Assumption
teammates_logic_api_EmailGenerator	importsClass	 teammates_logic_core_CoursesLogic
teammates_logic_backdoor_BackDoorLogic	importsClass	 teammates_common_datatransfer_attributes_CourseAttributes
teammates_logic_backdoor_BackDoorLogic	importsClass	 teammates_common_exception_EntityDoesNotExistException
teammates_logic_core_FeedbackSessionsLogic	importsClass	 teammates_storage_api_FeedbackSessionsDb
teammates_logic_core_StudentsLogic	importsClass	 teammates_common_datatransfer_StudentSearchResultBundle
teammates_logic_api_TaskQueuer	importsClass	 teammates_common_util_Logger
teammates_logic_api_TaskQueuer	importsClass	 teammates_common_datatransfer_StudentEnrollDetails
teammates_logic_api_EmailSender	importsClass	 teammates_logic_core_MailgunService
teammates_logic_core_FeedbackSessionsLogic	importsClass	 teammates_common_datatransfer_attributes_FeedbackSessionAttributes
teammates_logic_core_FeedbackQuestionsLogic	importsClass	 java_util_Collections
teammates_logic_core_StudentsLogic	importsClass	 teammates_common_exception_EntityAlreadyExistsException
teammates_logic_core_SendgridService	importsClass	 com_sendgrid_SendGrid_Email
teammates_logic_api_TaskQueuer	importsClass	 teammates_common_util_TaskWrapper
teammates_logic_api_Logic	importsClass	 teammates_logic_core_ProfilesLogic
teammates_logic_core_JavamailService	importsClass	 javax_mail_internet_InternetAddress
teammates_logic_backdoor_BackDoorLogic	importsClass	 teammates_storage_api_FeedbackSessionsDb
teammates_logic_backdoor_BackDoorServlet	importsClass	 teammates_common_datatransfer_attributes_FeedbackResponseAttributes
